issue,title,primary finding,validator comment,status,root cause (URL),size
findings-3,The upgradeTo and _upgradeToAndCall functions lack sufficient access control.,validation-70,,Satisfactory,,107
findings-4,Potential Vulnerability in `WellUpgradeable::_authorizeUpgrade` Function's Authorization Mechanism,findings-4,,Satisfactory,,74
findings-5,Potential Issue with Aquifer Mapping Update after WellUpgradeable Contract Upgrades,findings-5,,Satisfactory,,85
findings-6,Potential Decimal Precision Issue in `Stable2::decodeWellData` Function,validation-70,,Satisfactory,,80
findings-8,Incorrect `token1` Decimal Assignment,validation-70,,Satisfactory,,47
validation-10,`calcReserve` calculates `b` incorrectly,validation-10,,Satisfactory,,51
validation-101,Due to no access control on `WellUpgradeable::_authorizeUpgrade()` anyone can change the implementation contract and can destroy the main Proxy contract.,validation-70,,Satisfactory,,97
validation-102,Incorrect `if` condition is used in the `decodeWellData()` function in `Stable2` contract,validation-73,,Satisfactory,,50
validation-103,"Most functions of `Stable2.sol` are incompatible with `Well.sol`, allowing malicious users to steal funds.",validation-103,,Satisfactory,,215
validation-107,Incorrectly checking for `decimal1` with `decimal0`.,validation-73,,Satisfactory,,45
validation-108,Absence of `onlyOwner` modifier in `upgradeTo` and `upgradeToAndCall` function. ,validation-70,,Satisfactory,,57
validation-11,Incorrect decimal handling in `Stable2::decodeWellData()` may lead to miscalculations and potential financial losses,validation-73,,Satisfactory,,87
validation-110,Reserve address validation is incorrect; can lead to Division by Zero Error,validation-110,,Unsatisfactory,,32
validation-111,[H-1] Incorrect check while decoding decimals of provided pair of tokens,validation-73,,Satisfactory,,43
validation-115,The `__ReentrancyGuard_init()` function should be called before any other initializations in the `init` function to ensure that reentrancy protection is established as early as possible.,,,Unsatisfactory,,70
validation-118,Incorrect Condition Check in `decodeWellData` Function,validation-73,,Satisfactory,,52
validation-119,Divergence between swap and liquidity pricing functions,validation-119,,Satisfactory,,128
validation-126,Arithmetic Precision Issue: Division Before Multiplication,,,Unsatisfactory,,193
validation-14,Direct ERC-20 token transfers can manipulate reserves leading to incorrect calculations via `Stable2::calcLpTokenSupply` and `Stable2::calcReserve`,,,Unsatisfactory,,65
validation-15,Gas Griefing through Unbounded Loops in WellUpgradeable Contract,,,Unsatisfactory,,146
validation-16,Unrestricted Function Access Leading to Potential Manipulation and DoS Vulnerabilities,,,Unsatisfactory,,148
validation-17,High Complexity in Price Lookup Functions Due to Deep Nesting,,,Unsatisfactory,,142
validation-18,Unauthorized Contract Reinitialization Due to Unprotected Initializer Functions,validation-92,,Unsatisfactory,,66
validation-19,`notDelegatedOrIsMinimalProxy` reverts incorrectly,validation-19,,Satisfactory,,39
validation-20,`_authorizeUpgrade` has been implemented incorrectly and will prevent Well upgrades,validation-70,,Satisfactory,,62
validation-21,Lack of Input Validation,validation-21,,Unsatisfactory,,95
validation-22,Overflow in Calculations,validation-22,,Unsatisfactory,,131
validation-23, Incorrect Error Handling,validation-73,,Satisfactory,,40
validation-24,Instant upgrade vulnerability allows permanent DoS and fund lock in Wells,validation-70,,Satisfactory,,103
validation-25,Adding new variables to multi-level inherited upgradeable contracts may break storage layout,validation-94,,Unsatisfactory,,39
validation-26,WellUpgradeable inherits from OwnableUpgradeable but misses restricting critical functions to onlyOwner,validation-70,,Satisfactory,,92
validation-3, `WellUpgradeable::upgradeTo/upgradeToAndCall` lack access control,validation-70,,Satisfactory,,58
validation-31,High Gas Consumption and Potential Out-of-Gas in calcLpTokenSupply and calcReserve Functions,,,Unsatisfactory,,86
validation-32,"In the ``Stable2`` contract ``calcLpTokenSupply‍‍`` function, there is a potential integer overflow/underflow vulnerability",validation-22,,Unsatisfactory,,76
validation-33,Unchecked External Call on `calcRate` function on `Stable2` contract,,,Unsatisfactory,,69
validation-34,For extreme ratios getRatiosFromPriceSwap will return data for which is impossible to converge into a reserve,validation-34,,Satisfactory,,105
validation-37,Arbitrary from passed to transferFrom (lor safeTransferFrom),,,Unsatisfactory,,27
validation-38,unprotected initializer,validation-92,,Unsatisfactory,,26
